date_time,year,jd,latitude,longitude,wind_max,hur_bear,hur_spd,site_bear,site_range,rmw,s_par,wind_dir,wind_spd,gust_spd,ef_sca
1935-09-01T06:00,1935,244.25,23.7,-76.6,28.3,270.140683189009,3.29755116401046,121.529877683866,428.82174965746,75,1.3,351.529877683866,11.0924526196781,16.6386789295171,-1
1935-09-01T07:00,1935,244.291666666667,23.7,-76.7166666666667,29.15,270.140683189009,3.29755116401046,122.415079304618,418.916673095534,75,1.3,352.415079304618,11.6005109136761,17.4007663705141,-1
1935-09-01T08:00,1935,244.333333333333,23.7,-76.8333333333333,30,270.140683189009,3.29755116401046,123.341740327195,409.11056276104,75,1.3,353.341740327195,12.1223499888076,18.1835249832115,-1
1935-09-01T09:00,1935,244.375,23.7,-76.95,30.85,270.140683189009,3.29755116401046,124.312450842901,399.410715402562,75,1.3,354.312450842901,12.6583277220953,18.9874915831429,-1
1935-09-01T10:00,1935,244.416666666667,23.7,-77.0666666666667,31.7,270.140683189009,3.29755116401046,125.329963855246,389.825070699614,75,1.3,355.329963855246,13.2087737256219,19.8131605884329,-1
1935-09-01T11:00,1935,244.458333333333,23.7,-77.1833333333333,32.55,270.136663602593,3.20333556716634,126.397198850296,380.36227016447,75,1.3,356.397198850296,13.7823359652351,20.6735039478527,-1
1935-09-01T12:00,1935,244.5,23.7,-77.3,33.4,270.132644016178,3.10911997032223,127.517243069617,371.031720115444,75,1.3,357.517243069617,14.3704884537787,21.555732680668,-1
1935-09-01T13:00,1935,244.541666666667,23.7,-77.4,34.2666666666667,270.128624429763,3.01490437347811,128.521774366194,363.147102902959,75,1.3,358.521774366194,14.948729390739,22.4230940861086,-1
1935-09-01T14:00,1935,244.583333333333,23.7,-77.5,35.1333333333333,270.124604843347,2.92068877663399,129.569634327471,355.374127717855,75,1.3,359.569634327471,15.5392609001125,23.3088913501687,-1
1935-09-01T15:00,1935,244.625,23.7,-77.6,36,270.120585256932,2.82647317978987,130.663047008773,347.720285900611,75,1.3,0.663047008773475,16.1420861586574,24.2131292379861,-1
1935-09-01T16:00,1935,244.666666666667,23.7,-77.7,36.8666666666667,270.120585256932,2.82647317978987,131.804310337246,340.193622730271,75,1.3,1.80431033724554,16.7498464494808,25.1247696742212,-1
1935-09-01T17:00,1935,244.708333333333,23.7,-77.8,37.7333333333333,270.120585256932,2.82647317978987,132.99578534349,332.80277128316,75,1.3,2.99578534348962,17.370196315952,26.0552944739281,-1
1935-09-01T18:00,1935,244.75,23.7,-77.9,38.6,270.120585256932,2.82647317978987,134.239881583525,325.55698543269,75,1.3,4.23988158352495,18.0029528296357,27.0044292444535,-1
1935-09-01T19:00,1935,244.791666666667,23.7,-78,39.8833333333333,270.120585256932,2.82647317978987,135.539038039595,318.466170987251,75,1.3,5.53903803959534,18.8467538585194,28.2701307877791,-1
1935-09-01T20:00,1935,244.833333333333,23.7,-78.1,41.1666666666667,270.120585256932,2.82647317978987,136.895698728648,311.540913699636,75,1.3,6.89569872864752,19.7071089129811,29.5606633694717,0
1935-09-01T21:00,1935,244.875,23.7,-78.2,42.45,270.120585256932,2.82647317978987,138.312282208898,304.792502580077,75,1.3,8.31228220889795,20.5835033392681,30.8752550089021,0
1935-09-01T22:00,1935,244.916666666667,23.7,-78.3,43.7333333333333,270.120585256932,2.82647317978987,139.791144171202,298.232946609789,75,1.3,9.79114417120169,21.4752449682504,32.2128674523756,0
1935-09-01T23:00,1935,244.958333333333,23.7,-78.4,45.0166666666667,270.116565701315,2.73225751339171,141.334532349955,291.874982592208,75,1.3,11.3345323499548,22.3866732711179,33.5800099066769,0
